query,可选车型组合,模型输出车型组合,正确车型组合,prec,rec,f1,proper
打车去大梅沙滨海公园,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '东潮出行'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'经济型': '5U出行'}, {'经济型': '享道出行'}, {'优享型': '飞嘀打车'}, {'优享型': '斑马快跑'}, {'经济型': '中军出行'}, {'': '远途极速拼'}, {'轻享专车': 'undefined'}, {'经济型': '阳光出行'}, {'经济型': '曹操出行'}, {'优享型': '中交出行'}, {'豪华型': 'undefined'}, {'六座商务': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '斑马快跑'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': 'T3出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'经济型': '妥妥E行'}, {'经济型': '中交出行'}, {'优享型': '东潮出行'}, {'特快车': 'undefined'}, {'优享型': '享道出行'}, {'经济型': '全民GO'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'经济型': '如祺出行'}, {'经济型': '聚的新出租'}]",[],[],1.0,1.0,1.0,1
打车去民乐,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '东潮出行'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'': '极速拼车'}, {'经济型': '5U出行'}, {'经济型': '享道出行'}, {'优享型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'经济型': '中军出行'}, {'轻享专车': 'undefined'}, {'经济型': '阳光出行'}, {'经济型': '曹操出行'}, {'优享型': '妥妥E行'}, {'优享型': '中交出行'}, {'豪华型': 'undefined'}, {'六座商务': 'undefined'}, {'经济型': '飞嘀打车'}, {'经济型': '斑马快跑'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': 'T3出行'}, {'优享型': '神州专车'}, {'经济型': '深圳出租'}, {'经济型': '妥妥E行'}, {'经济型': '中交出行'}, {'优享型': '东潮出行'}, {'特快车': 'undefined'}, {'经济型': '全民GO'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'惠享专车': 'undefined'}, {'优享型': '首汽约车'}, {'经济型': '如祺出行'}, {'经济型': '聚的新出租'}]",[],[],1.0,1.0,1.0,1
我要从家/公司去动物园,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '旅程约车'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'': '极速拼车'}, {'优享型': '365约车'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'经济型': '叮叮出行'}, {'经济型': '沛途出行'}, {'经济型': '首汽约车'}, {'品质专车': 'undefined'}, {'经济型': '迪尔出行'}, {'经济型': '阳光出行'}, {'经济型': '曹操出行'}, {'经济型': '365约车'}, {'优享型': '鞍马出行'}, {'优享型': '环旅出行'}, {'六座商务': 'undefined'}, {'经济型': '聚优出租'}, {'经济型': '风韵出行'}, {'经济型': '鞍马聚的新出租'}, {'优享型': '及时用车'}, {'优享型': 'T3出行'}, {'优享型': '腾飞出行'}, {'优享型': '有滴出行'}, {'优享型': '神州专车'}, {'优享型': '旅程约车'}, {'经济型': '鞍马出行'}, {'经济型': '环旅出行'}, {'特快车': 'undefined'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'优享型': '叮叮出行'}, {'经济型': '腾飞出行'}, {'优享型': '首汽约车'}, {'经济型': '腾飞新出租'}, {'经济型': '有滴出行'}]",[],"[{'': '特惠快车'}, {'特快车': 'undefined'}]",0.0,0.0,0.0,0
麻烦帮我打专车到海底捞,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '旅程约车'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'': '极速拼车'}, {'优享型': '365约车'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'经济型': '叮叮出行'}, {'经济型': '首汽约车'}, {'经济型': '有序出行'}, {'经济型': '南京出租'}, {'品质专车': 'undefined'}, {'经济型': '迪尔出行'}, {'经济型': '阳光出行'}, {'经济型': '曹操出行'}, {'经济型': '365约车'}, {'优享型': '鞍马出行'}, {'优享型': '环旅出行'}, {'六座商务': 'undefined'}, {'经济型': '聚优出租'}, {'经济型': '风韵出行'}, {'经济型': '鞍马聚的新出租'}, {'优享型': '及时用车'}, {'优享型': 'T3出行'}, {'优享型': '腾飞出行'}, {'优享型': '有滴出行'}, {'优享型': '神州专车'}, {'经济型': '妥妥E行'}, {'优享型': '旅程约车'}, {'经济型': '鞍马出行'}, {'经济型': '环旅出行'}, {'特快车': 'undefined'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'优享型': '叮叮出行'}, {'经济型': '腾飞出行'}, {'优享型': '首汽约车'}, {'经济型': '腾飞新出租'}, {'经济型': '有滴出行'}]","[{'经济型': '神州专车'}, {'优享型': '神州专车'}]","[{'经济型': '神州专车'}, {'品质专车': 'undefined'}, {'优享型': '神州专车'}]",1.0,0.6666666666666666,0.8,0
给我打个六座车去朱三家龙虾吃饭,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '旅程约车'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'': '极速拼车'}, {'优享型': '365约车'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'经济型': '叮叮出行'}, {'经济型': '首汽约车'}, {'经济型': '有序出行'}, {'经济型': '南京出租'}, {'品质专车': 'undefined'}, {'经济型': '迪尔出行'}, {'经济型': '曹操出行'}, {'经济型': '365约车'}, {'优享型': '鞍马出行'}, {'优享型': '环旅出行'}, {'六座商务': 'undefined'}, {'经济型': '聚优出租'}, {'经济型': '风韵出行'}, {'经济型': '鞍马聚的新出租'}, {'优享型': '及时用车'}, {'优享型': 'T3出行'}, {'优享型': '腾飞出行'}, {'优享型': '有滴出行'}, {'优享型': '神州专车'}, {'经济型': '妥妥E行'}, {'优享型': '旅程约车'}, {'经济型': '鞍马出行'}, {'经济型': '环旅出行'}, {'特快车': 'undefined'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'优享型': '叮叮出行'}, {'经济型': '腾飞出行'}, {'优享型': '首汽约车'}, {'经济型': '腾飞新出租'}, {'经济型': '有滴出行'}]",[{'六座商务': 'undefined'}],[{'六座商务': 'undefined'}],1.0,1.0,1.0,1
能帮我打个拼车去景枫中心吗,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '旅程约车'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'': '极速拼车'}, {'经济型': '享道出行'}, {'经济型': '叮叮出行'}, {'经济型': '沛途出行'}, {'经济型': '首汽约车'}, {'品质专车': 'undefined'}, {'经济型': '南京出租'}, {'经济型': '迪尔出行'}, {'经济型': '阳光出行'}, {'经济型': '曹操出行'}, {'优享型': '鞍马出行'}, {'优享型': '环旅出行'}, {'六座商务': 'undefined'}, {'经济型': '聚优出租'}, {'经济型': '风韵出行'}, {'经济型': '鞍马聚的新出租'}, {'优享型': '及时用车'}, {'优享型': 'T3出行'}, {'优享型': '腾飞出行'}, {'优享型': '有滴出行'}, {'优享型': '神州专车'}, {'经济型': '妥妥E行'}, {'优享型': '旅程约车'}, {'经济型': '鞍马出行'}, {'经济型': '环旅出行'}, {'特快车': 'undefined'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'优享型': '叮叮出行'}, {'经济型': '腾飞出行'}, {'优享型': '首汽约车'}, {'优享型': '沛途出行'}, {'经济型': '腾飞新出租'}, {'经济型': '有滴出行'}]",[],[{'': '极速拼车'}],0.0,0.0,0.0,0
请帮我叫个专车,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '旅程约车'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'': '极速拼车'}, {'优享型': '365约车'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'经济型': '叮叮出行'}, {'经济型': '沛途出行'}, {'经济型': '首汽约车'}, {'经济型': '有序出行'}, {'经济型': '南京出租'}, {'品质专车': 'undefined'}, {'经济型': '迪尔出行'}, {'经济型': '阳光出行'}, {'经济型': '曹操出行'}, {'经济型': '365约车'}, {'优享型': '鞍马出行'}, {'优享型': '环旅出行'}, {'六座商务': 'undefined'}, {'经济型': '聚优出租'}, {'经济型': '风韵出行'}, {'经济型': '鞍马聚的新出租'}, {'优享型': 'T3出行'}, {'优享型': '腾飞出行'}, {'优享型': '有滴出行'}, {'经济型': '妥妥E行'}, {'优享型': '旅程约车'}, {'经济型': '鞍马出行'}, {'经济型': '环旅出行'}, {'特快车': 'undefined'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'优享型': '叮叮出行'}, {'经济型': '腾飞出行'}, {'优享型': '首汽约车'}, {'优享型': '沛途出行'}, {'经济型': '有滴出行'}]","[{'经济型': '神州专车'}, {'品质专车': 'undefined'}]","[{'经济型': '神州专车'}, {'品质专车': 'undefined'}]",1.0,1.0,1.0,1
帮我打出租车去机场费用要100以内,[],[],[],1.0,1.0,1.0,1
请帮我打出租车去银杏湖乐园打车费要90左右,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '旅程约车'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'': '极速拼车'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'经济型': '叮叮出行'}, {'经济型': '首汽约车'}, {'经济型': '沛途出行'}, {'品质专车': 'undefined'}, {'经济型': '迪尔出行'}, {'经济型': '阳光出行'}, {'经济型': '曹操出行'}, {'经济型': '365约车'}, {'优享型': '鞍马出行'}, {'优享型': '环旅出行'}, {'六座商务': 'undefined'}, {'经济型': '聚优出租'}, {'经济型': '风韵出行'}, {'经济型': '鞍马聚的新出租'}, {'优享型': '及时用车'}, {'优享型': 'T3出行'}, {'优享型': '腾飞出行'}, {'优享型': '有滴出行'}, {'优享型': '神州专车'}, {'经济型': '妥妥E行'}, {'优享型': '旅程约车'}, {'经济型': '鞍马出行'}, {'经济型': '环旅出行'}, {'特快车': 'undefined'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'优享型': '叮叮出行'}, {'经济型': '腾飞出行'}, {'优享型': '首汽约车'}, {'优享型': '沛途出行'}, {'经济型': '有滴出行'}]",[{'出租车': 'undefined'}],"[{'出租车': 'undefined'}, {'经济型': '聚优出租'}, {'经济型': '鞍马聚的新出租'}]",1.0,0.3333333333333333,0.5,0
五个人准备去水游城,"[{'': '特惠快车'}, {'经济型': '神州专车'}, {'出租车': 'undefined'}, {'经济型': '旅程约车'}, {'优享型': '阳光出行'}, {'优享型': '曹操出行'}, {'': '极速拼车'}, {'经济型': '享道出行'}, {'优享型': '风韵出行'}, {'经济型': '叮叮出行'}, {'经济型': '首汽约车'}, {'经济型': '沛途出行'}, {'品质专车': 'undefined'}, {'经济型': '南京出租'}, {'经济型': '迪尔出行'}, {'经济型': '阳光出行'}, {'经济型': '曹操出行'}, {'经济型': '365约车'}, {'优享型': '鞍马出行'}, {'优享型': '环旅出行'}, {'六座商务': 'undefined'}, {'经济型': '聚优出租'}, {'经济型': '风韵出行'}, {'优享型': '及时用车'}, {'优享型': 'T3出行'}, {'优享型': '腾飞出行'}, {'优享型': '有滴出行'}, {'优享型': '神州专车'}, {'经济型': '妥妥E行'}, {'优享型': '旅程约车'}, {'经济型': '鞍马出行'}, {'经济型': '环旅出行'}, {'特快车': 'undefined'}, {'优享型': '享道出行'}, {'经济型': '及时用车'}, {'经济型': 'T3出行'}, {'优享型': '叮叮出行'}, {'经济型': '腾飞出行'}, {'优享型': '首汽约车'}, {'经济型': '腾飞新出租'}, {'经济型': '有滴出行'}]",[],[],1.0,1.0,1.0,1
